CLI,UTSOU,CPACK,CPRO,ETA,DDSOU,DFSOU
43572713,010148    ,000011,210,VA,2024-01-03,2000-01-03
43572713,010148    ,000011,213,VA,2024-01-03,
43572862,000539    ,000022,222,VA,2024-01-03,
43573011,000387    ,000077,201,VA,2024-01-03,
43573011,000387    ,000077,665,VA,2024-01-03,2028-12-31
43573011,000387    ,000077,210,VA,2024-01-03,
43573011,000387    ,000077,   ,VA,2024-01-03,
43573085,000534    ,      ,201,VA,2024-01-03,
43573382,000601    ,      ,201,VA,2024-01-03,
43573159,000630    ,      ,222,VA,2024-01-03,2024-06-24
43573457,000618    ,000011,222,VA,2024-01-03,
43573457,000618    ,000011,201,VA,2024-01-03,
43573457,000618    ,000011,653,VA,2024-01-03,2027-12-31
43573457,000618    ,000011,210,VA,2024-01-03,
43573457,000618    ,000011,643,VA,2024-01-03,2025-01-03
43573457,000618    ,000011,213,VA,2024-01-03,
43573457,000618    ,000011,   ,VA,2024-01-03,
43573531,000441    ,      ,201,VA,2024-01-03,
43573531,000441    ,      ,202,VA,2024-01-03,
43573680,000440    ,      ,222,VA,2024-01-03,
43573605,000384    ,000033,210,VA,2024-01-03,
43573754,000652    ,      ,222,VA,2024-01-03,
43573828,000534    ,      ,222,VA,2024-01-03,
43573903,000475    ,      ,222,VA,2024-01-03,2024-03-12
43573605,000384    ,000033,222,VA,2024-01-03,
43573605,000384    ,000033,201,VA,2024-01-03,
43573605,000384    ,000033,651,VA,2024-01-03,2027-12-31
43573605,000384    ,000033,613,VA,2024-01-03,2025-01-03
43573977,010110    ,000022,222,VA,2024-01-03,
43573234,010116    ,100002,221,VA,2024-01-03,
43573234,010116    ,      ,221,VA,2024-01-03,
43573605,000384    ,000033,213,VA,2024-01-03,
43573605,000384    ,000033,641,VA,2024-01-03,2025-01-03
43573605,000384    ,000033,   ,VA,2024-01-03,
43574051,010104    ,000033,222,VA,2024-01-03,
43574051,010104    ,000033,201,VA,2024-01-03,
43574051,010104    ,000033,490,VA,2024-01-03,2028-10-10
43574126,010094    ,000011,222,VA,2024-01-03,
43574200,000482    ,      ,201,VA,2024-01-03,
43574126,010094    ,000011,201,VA,2024-01-03,
43574126,010094    ,000011,653,VA,2024-01-03,2027-12-31
43574126,010094    ,000011,643,VA,2024-01-03,2025-01-03
43574126,010094    ,000011,210,VA,2024-01-03,
43574126,010094    ,000011,213,VA,2024-01-03,
43574126,010094    ,000011,   ,VA,2024-01-03,
43574051,010104    ,000033,651,VA,2024-01-03,2027-12-31
43574274,010130    ,000077,201,VA,2024-01-03,
43574349,010210    ,      ,201,VA,2024-01-03,
43574423,010094    ,      ,203,VA,2024-01-03,
43574497,000440    ,000022,222,VA,2024-01-03,
43574572,010116    ,000011,222,VA,2024-01-03,
43574572,010116    ,000011,201,VA,2024-01-03,
43574572,010116    ,000011,653,VA,2024-01-03,2027-12-31
43574572,010116    ,000011,643,VA,2024-01-03,2025-01-03
43574572,010116    ,000011,210,VA,2024-01-03,
43574572,010116    ,000011,213,VA,2024-01-03,
43574572,010116    ,000011,   ,VA,2024-01-03,
43574051,010104    ,000033,641,VA,2024-01-03,2025-01-03
43574051,010104    ,000033,210,VA,2024-01-03,
43574051,010104    ,000033,213,VA,2024-01-03,
