CLI,SEXT,DNA,AGE,TCLI,GES,DOU,UTIC,age,client_seniority_days,age_group,total_products,active_products,active_products_ratio,avg_product_duration,std_product_duration,max_product_duration,unique_packs,total_accounts,closed_accounts,closed_accounts_ratio,unique_account_types,Segment Client,Actif/Inactif,District
43569889,M,1979-06-02,3333,1,333,2024-01-02,010148    ,46.12731006160164,563,45-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43569889,M,1979-06-02,3333,1,333,2024-01-02,010148    ,46.12731006160164,563,45-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NON AFFECTE,NON AFFECTE,District Grand Centre
43569963,F,2004-11-17,404,1,42,2024-01-02,000635    ,20.6652977412731,563,<25,6.0,7.0,1.0,267.3333333333333,57.154760664940824,384.0,2.0,2.0,1.0,0.5,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43570037, ,,3333,3,333,2024-01-02,010148    ,0.0,563,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43570037, ,,3333,3,333,2024-01-02,010148    ,0.0,563,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NON AFFECTE,NON AFFECTE,District Grand Centre
43570112,F,1990-12-19,2525,1,252,2024-01-02,000594    ,34.57905544147844,563,25-35,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,JEUNES ADULTES,ACTIF,SIEGE
43570112,F,1990-12-19,2525,1,252,2024-01-02,000594    ,34.57905544147844,563,25-35,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NON AFFECTE,NON AFFECTE,District Tunis Sud
43570186, ,,2525,2,252,2024-01-02,000594    ,0.0,563,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,ADULTES HAUTE GAMME,ACTIF,SIEGE
43570186, ,,2525,2,252,2024-01-02,000594    ,0.0,563,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,PETITE ENTREPRISE,ACTIF,District Tunis Sud
43570260,F,2008-05-14,1010,1,101,2024-01-02,010094    ,17.177275838466805,563,<25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43570335,F,2001-04-04,2121,1,213,2024-01-02,000475    ,24.28747433264887,563,<25,7.0,8.0,1.0,73.0,18.96487982209923,81.0,2.0,3.0,2.0,0.6666666666666666,2.0,ADULTES CLASSE MOYENNE,ACTIF,SIEGE
43570409,M,1980-10-28,2020,1,204,2024-01-02,010185    ,44.720054757015745,563,35-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADULTES HAUTE GAMME,ACTIF,SIEGE
43570483,F,2001-12-15,404,1,43,2024-01-02,000621    ,23.589322381930184,563,<25,3.0,4.0,1.0,909.0,769.3321779309637,1453.0,2.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43570558,M,2020-12-31,2020,1,204,2024-01-02,010185    ,4.544832306639288,563,<25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43570632,F,1997-07-11,404,1,43,2024-01-02,000621    ,28.019164955509925,563,25-35,6.0,7.0,1.0,1212.6666666666667,755.9691351724177,1820.0,2.0,8.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43570706,F,1987-07-26,2323,1,231,2024-01-02,000534    ,37.97946611909651,563,35-45,10.0,11.0,1.0,863.8,700.1894029475168,1804.0,2.0,8.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43570781, ,,3030,2,300,2024-01-02,000677    ,0.0,563,,13.0,15.0,1.0,528.5,575.9474182348841,1457.0,3.0,14.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43570781, ,,3030,2,300,2024-01-02,000677    ,0.0,563,,13.0,15.0,1.0,528.5,575.9474182348841,1457.0,3.0,14.0,0.0,0.0,3.0,GRANDE ENTREPRISE,ACTIF,District Tunis Sud
43570855,M,1984-10-24,2424,1,242,2024-01-02,000626    ,40.73100616016427,563,35-45,7.0,8.0,1.0,723.3333333333334,620.6515393788477,1440.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43570929,F,1987-04-25,2020,1,203,2024-01-02,010286    ,38.23134839151266,563,35-45,12.0,13.0,1.0,709.3333333333334,730.0760690959995,1819.0,2.0,15.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43571004,F,1979-01-22,404,1,43,2024-01-02,000601    ,46.48596851471595,563,45-55,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43571078,M,1978-09-11,404,1,43,2024-01-02,000601    ,46.85010266940452,563,45-55,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43571152,M,1993-08-19,303,1,31,2024-01-02,000627    ,31.912388774811774,563,25-35,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43571227,F,2002-10-11,1010,1,102,2024-01-02,010092    ,22.767967145790553,563,<25,7.0,8.0,1.0,849.6666666666666,553.2922675524512,1453.0,1.0,2.0,0.0,0.0,2.0,ADULTES CLASSE MOYENNE,ACTIF,SIEGE
43571301,F,1990-07-26,404,1,43,2024-01-02,000621    ,34.978781656399725,563,25-35,6.0,7.0,1.0,906.0,763.6753236814714,1446.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43571375,F,1995-02-20,1010,1,102,2024-01-02,010092    ,30.406570841889117,563,25-35,7.0,8.0,1.0,849.6666666666666,553.2922675524512,1453.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43571450,F,1994-03-28,1010,1,102,2024-01-02,010092    ,31.307323750855577,563,25-35,7.0,8.0,1.0,728.0,627.8686168299862,1453.0,1.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43571524,F,1994-06-10,1010,1,102,2024-01-02,010092    ,31.104722792607802,563,25-35,7.0,8.0,1.0,849.6666666666666,553.2922675524512,1453.0,1.0,2.0,0.0,0.0,2.0,ADULTES HAUTE GAMME,ACTIF,SIEGE
43571598,F,1998-05-20,1010,1,102,2024-01-02,010092    ,27.16221765913758,563,25-35,7.0,8.0,1.0,196.0,0.0,196.0,2.0,2.0,0.0,0.0,2.0,ADULTES CLASSE MOYENNE,ACTIF,SIEGE
43571673,M,1992-04-14,1717,1,174,2024-01-03,000641    ,33.25941136208077,562,25-35,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43571747,F,1996-07-15,202,1,22,2024-01-03,010130    ,29.00752908966461,562,25-35,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43571821,M,1990-07-04,2121,1,213,2024-01-03,000475    ,35.03901437371663,562,35-45,6.0,7.0,1.0,336.4,16.546903033498438,366.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43571896,F,1998-08-09,909,1,90,2024-01-03,000439    ,26.940451745379878,562,25-35,4.0,5.0,1.0,1064.0,1070.559666716433,1821.0,2.0,2.0,1.0,0.5,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43571970,M,1985-07-25,2222,1,223,2024-01-03,000249    ,39.98083504449008,562,35-45,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,ACTIF,SIEGE
43572044,F,1977-03-10,3131,1,313,2024-01-03,010104    ,48.355920602327174,562,45-55,10.0,11.0,1.0,662.2,474.4757106533485,1453.0,2.0,8.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43572044,F,1977-03-10,3131,1,313,2024-01-03,010104    ,48.355920602327174,562,45-55,10.0,11.0,1.0,662.2,474.4757106533485,1453.0,2.0,8.0,0.0,0.0,3.0,ADULTES GRAND PUBLIC,ACTIF,District Nord Ouest
43572119,M,1988-06-29,2121,1,211,2024-01-03,010108    ,37.05133470225873,562,35-45,10.0,12.0,1.0,461.14285714285717,431.78406199219097,1438.0,2.0,2.0,0.0,0.0,2.0,ADULTES HAUTE GAMME,ACTIF,SIEGE
43572193,F,1980-04-21,1313,1,131,2024-01-03,000552    ,45.24024640657084,562,45-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PREMIUMS ELITE,ACTIF,SIEGE
43572267,F,1992-05-13,3131,1,313,2024-01-03,010104    ,33.18001368925393,562,25-35,14.0,16.0,1.0,511.6363636363636,485.85250287042317,1499.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,INACTIF,SIEGE
43572267,F,1992-05-13,3131,1,313,2024-01-03,010104    ,33.18001368925393,562,25-35,14.0,16.0,1.0,511.6363636363636,485.85250287042317,1499.0,2.0,2.0,0.0,0.0,2.0,ADULTES GRAND PUBLIC,ACTIF,District Nord Ouest
43572342,F,2064-02-21,2525,1,252,2024-01-03,000594    ,-38.59548254620123,562,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES CLASSE MOYENNE,ACTIF,SIEGE
43572342,F,2064-02-21,2525,1,252,2024-01-03,000594    ,-38.59548254620123,562,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,ADULTES GRAND PUBLIC,INACTIF,District Tunis Sud
